fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2025-09-30,2025-11-13,0.16,0.15,0.01,6.6667,post-market
2025-06-30,2025-08-14,0.13,0.13,0,0,post-market
2025-03-31,2025-05-13,0.11,0.12,-0.01,-8.3333,post-market
2024-12-31,2025-02-20,0.11,0.11,0,0,post-market
2024-09-30,2024-11-13,0.11,0.1,0.01,10,post-market
2024-06-30,2024-08-13,0.1,0.09,0.01,11.1111,post-market
2024-03-31,2024-05-14,0.08,0.07,0.01,14.2857,post-market
2023-12-31,2024-02-22,0.07,0.08,-0.01,-12.5,post-market
2023-09-30,2023-11-14,0.06,0.05,0.01,20,post-market
2023-06-30,2023-08-15,0.05,0.03,0.02,66.6667,post-market
2023-03-31,2023-05-15,0.03,0.01,0.02,200,post-market
2022-12-31,2023-02-14,-0.06,-0.05,-0.01,-20,post-market
2022-09-30,2022-11-14,0.01,0.01,0,0,post-market
2022-06-30,2022-08-15,-0.01,-0.01,0,0,post-market
2022-03-31,2022-05-16,-0.01,-0.03,0.02,66.6667,post-market
2021-12-31,2022-02-22,-0.03,-0.03,0,0,post-market
2021-09-30,2021-12-09,-0.01,0,-0.01,None,post-market
2021-06-30,2021-08-02,-0.01,0,-0.01,None,pre-market
2021-03-31,2021-06-30,-0.0111,0,-0.0111,None,pre-market
2020-12-31,2021-03-31,-0.0367,0,-0.0367,None,pre-market
2020-09-30,2020-12-31,-0.0803,0,-0.0803,None,pre-market
2020-06-30,2020-09-30,-0.0247,0,-0.0247,None,pre-market
2020-03-31,2020-06-30,0.0004,0,0.0004,None,pre-market
2019-12-31,2020-03-31,-0.0258,0,-0.0258,None,pre-market
